12000;Вторник 09.01;13:30;;Бухгалтерский учет и анализ;консультация;207;-;-;Елизарова Н.Ю.;8
12000;Вторник 09.01;15:00;;Статистика;лабораторная;207;-;-;Чугунов К.В.;8
12000;Среда 10.01;13:30;;Бухгалтерский учет и анализ;экзамен;509а;-;-;Елизарова Н.Ю.;3
12000;Четверг 11.01;17:00;;Основы проектной деятельности;практика (зачет);442;-;-;Дараган А.В.;2
12000;Пятница 12.01;9:40;;Менеджмент;практика (зачет);421;-;-;Чугунова Е.С.;8
12000;Пятница 12.01;11:20;;Физическая культура и спорт (элективная дисциплина);практика (зачет);ОЛИМП;-;-;Титова Е.Б;ОЛИМП
12000;Пятница 12.01;13:00;;Иностранный язык;Консультация;541;-;-;Хайруллина Н.Р.;8
12000;Понедельник 15.01;9:40;;Статистика;лабораторная;521;-;-;Чугунов К.В.;2
12000;Среда 17.01;9:40;;Налоги и налогообложение;практика (зачет);406;-;-;Пурис А.В.;2
12000;Четверг 18.01;9:00;;Иностранный язык;экзамен;407;-;-;Хайруллина Н.Р.;2
12000;Четверг 18.01;13:30;;Эконометрика;консультация;407;-;-;Валиуллин Р.З.;2
12000;Пятница 19.01;9:40;;Эконометрика;экзамен;441;-;-;Валиуллин Р.З.;2
12000;Четверг 25.01;9:00;;Статистика;консультация;425;-;-;Чугунов К.В.;2
12000;Пятница 26.01;9:00;;Статистика;экзамен;201;-;-;Чугунов К.В.;2
