13000;;20:00;30.10.2024;Фандрайзинг;Практика;Онлайн;Онлайн в MTS Link;Доцент;Рахимова Г.С;ЦЭ
13000;;16:50;31.10.2024;Экономика организации (предприятий);Практика;Онлайн;Онлайн в MTS Link;Доцент;Басырова Э.И;ЭУП
13000;;18:25;31.10.2024;Экономика организации (предприятий);Практика;Онлайн;Онлайн в MTS Link;Доцент;Басырова Э.И;ЭУП
13000;;16:50;05.11.2024;Стратегическое планирование;Практика;Онлайн;Онлайн в MTS Link;Профессор;Гумеров А. В;ЭУП
13000;;18:25;05.11.2024;Стратегическое планирование;Практика;Онлайн;Онлайн в MTS Link;Профессор;Гумеров А. В;ЭУП
13000;;20:00;05.11.2024;Информационные технологии в экономике;Практика;Онлайн;Онлайн в MTS Link;Ассистент;Сычев А.С;ЭУП
13000;;18:25;06.11.2024;Управление персоналом;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;20:00;06.11.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;20:00;12.11.2024;Информационные технологии в экономике;Практика;Онлайн;Онлайн в MTS Link;Ассистент;Сычев А.С;ЭУП
13000;;18:25;13.11.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;16:50;14.11.2024;Логистика производственной деятельности;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;18:25;14.11.2024;Логистика производственной деятельности;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;20:00;14.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;16:50;19.11.2024;Стратегическое планирование;Лекция;Онлайн;Онлайн в MTS Link;Профессор;Гумеров А. В;ЭУП
13000;;18:25;19.11.2024;Стратегическое планирование;Практика;Онлайн;Онлайн в MTS Link;Профессор;Гумеров А. В;ЭУП
13000;;20:00;19.11.2024;Информационные технологии в экономике;Практика;Онлайн;Онлайн в MTS Link;Ассистент;Сычев А.С;ЭУП
13000;;18:25;20.11.2024;Управление персоналом;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;20:00;20.11.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;16:50;21.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;18:25;21.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;20:00;21.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;20:00;26.11.2024;Информационные технологии в экономике;Практика;Онлайн;Онлайн в MTS Link;Ассистент;Сычев А.С;ЭУП
13000;;18:25;27.11.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;16:50;28.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;18:25;28.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;20:00;28.11.2024;Логистика производственной деятельности;Практика;Онлайн;Онлайн в MTS Link;Доцент;Парфилова Р.Р;ЭУП
13000;;18:25;02.12.2024;Фандрайзинг;Практика;Онлайн;Онлайн в MTS Link;Доцент;Рахимова Г.С;ЦЭ
13000;;20:00;02.12.2024;Фандрайзинг;Практика;Онлайн;Онлайн в MTS Link;Доцент;Рахимова Г.С;ЦЭ
13000;;20:00;03.12.2024;Информационные технологии в экономике;Практика;Онлайн;Онлайн в MTS Link;Ассистент;Сычев А.С;ЭУП
13000;;18:25;04.12.2024;Управление персоналом;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;20:00;04.12.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;18:25;11.12.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;18:25;18.12.2024;Управление персоналом;Лекция;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;20:00;18.12.2024;Управление персоналом;Практика;Онлайн;Онлайн в MTS Link;Доцент;Надреева Л.Л;ЭУП
13000;;21:00;17.10.2024;Тест123;Практика;Онлайн;Онлайн в MTS Link;Доцент;Павлов А.С.;ЭУП
